SL,Easting,Northing,RL,Remarks,Surveyor,Date,,,
1,617972.0801,2743003.258,20.61,BS,Sanower Hossain,03/15/2021,,,
2,617861.3462,2742997.693,20.35,Puddy Land,Sanower Hossain,03/15/2021,,,
3,618026.084,2743049.027,20.18,Puddy Land,Sanower Hossain,03/15/2021,,,
4,617869.7464,2743058.425,20.63,Puddy Land,Sanower Hossain,03/15/2021,,,
5,617971.6048,2742991.212,20.20,Puddy Land,Sanower Hossain,03/15/2021,,,
6,617871.9223,2742945.541,20.25,Puddy Land,Sanower Hossain,03/15/2021,,,
7,617958.1656,2742924.016,20.14,Puddy Land,Sanower Hossain,03/15/2021,,,
8,617878.8317,2742879.196,20.57,Puddy Land,Sanower Hossain,03/15/2021,,,
9,617891.9246,2742834.565,20.59,Puddy Land,Sanower Hossain,03/15/2021,,,
10,618058.6139,2742847.891,21.34,Puddy Land,Sanower Hossain,03/15/2021,,,
11,618137.0847,2742843.44,20.62,Puddy Land,Sanower Hossain,03/15/2021,,,
12,618083.5026,2742879.176,20.20,Puddy Land,Sanower Hossain,03/15/2021,,,
13,618182.5529,2742906.956,20.21,Puddy Land,Sanower Hossain,03/15/2021,,,
14,618179.3823,2742954.93,20.24,Puddy Land,Sanower Hossain,03/15/2021,,,
15,618093.9248,2742956.59,20.06,Puddy Land,Sanower Hossain,03/15/2021,,,
16,618176.1463,2743039.296,20.18,Puddy Land,Sanower Hossain,03/15/2021,,,
17,618116.9759,2743002.177,20.33,Puddy Land,Sanower Hossain,03/15/2021,,,
18,618096.3659,2743051.643,20.10,Puddy Land,Sanower Hossain,03/15/2021,,,
19,618240.4214,2743033.272,20.27,Puddy Land,Sanower Hossain,03/15/2021,,,
20,618361.1355,2743029.301,20.35,Puddy Land,Sanower Hossain,03/15/2021,,,
21,618261.3188,2742970.358,20.30,Puddy Land,Sanower Hossain,03/15/2021,,,
22,618379.2946,2742959.807,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
23,618284.2733,2742944.762,20.34,Puddy Land,Sanower Hossain,03/15/2021,,,
24,618359.243,2742939.454,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
25,618199.9658,2742823.896,20.51,Puddy Land,Sanower Hossain,03/15/2021,,,
26,618143.3576,2742830.679,20.28,Mango Garden,Sanower Hossain,03/15/2021,,,
27,618081.2713,2742802.451,21.10,Mango Garden,Sanower Hossain,03/15/2021,,,
28,618057.2491,2742800.039,21.29,Mango Garden,Sanower Hossain,03/15/2021,,,
29,618002.3796,2742793.689,21.16,Mango Garden,Sanower Hossain,03/15/2021,,,
30,617996.2652,2742763.614,21.32,Mango Garden,Sanower Hossain,03/15/2021,,,
31,617927.6063,2742759.668,20.97,Mango Garden,Sanower Hossain,03/15/2021,,,
32,617839.67,2742858.489,20.84,Mango Garden,Sanower Hossain,03/15/2021,,,
33,617810.8415,2742890.087,20.49,Mango Garden,Sanower Hossain,03/15/2021,,,
34,617789.8779,2742954.884,20.99,Mango Garden,Sanower Hossain,03/15/2021,,,
35,617740.5433,2742905.341,20.97,Mango Garden,Sanower Hossain,03/15/2021,,,
36,617733.3733,2742953.955,20.98,Mango Garden,Sanower Hossain,03/15/2021,,,
37,617734.8469,2743004.796,20.87,Mango Garden,Sanower Hossain,03/15/2021,,,
